"Column Name","Label"
"B15001_058M","Margin of Error!!Total:!!Female:!!25 to 34 years:!!Bachelor's degree"
"B15001_059E","Estimate!!Total:!!Female:!!25 to 34 years:!!Graduate or professional degree"
"B15001_059M","Margin of Error!!Total:!!Female:!!25 to 34 years:!!Graduate or professional degree"
"B15001_060E","Estimate!!Total:!!Female:!!35 to 44 years:"
"B15001_060M","Margin of Error!!Total:!!Female:!!35 to 44 years:"
"B15001_061E","Estimate!!Total:!!Female:!!35 to 44 years:!!Less than 9th grade"
"B15001_061M","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Less than 9th grade"
"B15001_062E","Estimate!!Total:!!Female:!!35 to 44 years:!!9th to 12th grade, no diploma"
"B15001_062M","Margin of Error!!Total:!!Female:!!35 to 44 years:!!9th to 12th grade, no diploma"
"B15001_063E","Estimate!!Total:!!Female:!!35 to 44 years:!!High school graduate (includes equivalency)"
"B15001_063M","Margin of Error!!Total:!!Female:!!35 to 44 years:!!High school graduate (includes equivalency)"
"B15001_064E","Estimate!!Total:!!Female:!!35 to 44 years:!!Some college, no degree"
"B15001_064M","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Some college, no degree"
"B15001_065E","Estimate!!Total:!!Female:!!35 to 44 years:!!Associate's degree"
"B15001_065M","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Associate's degree"
"B15001_066E","Estimate!!Total:!!Female:!!35 to 44 years:!!Bachelor's degree"
"B15001_066M","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Bachelor's degree"
"B15001_067E","Estimate!!Total:!!Female:!!35 to 44 years:!!Graduate or professional degree"
"B15001_067M","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Graduate or professional degree"
"B15001_068E","Estimate!!Total:!!Female:!!45 to 64 years:"
"B15001_068M","Margin of Error!!Total:!!Female:!!45 to 64 years:"
"B15001_069E","Estimate!!Total:!!Female:!!45 to 64 years:!!Less than 9th grade"
"B15001_069M","Margin of Error!!Total:!!Female:!!45 to 64 years:!!Less than 9th grade"
"B15001_070E","Estimate!!Total:!!Female:!!45 to 64 years:!!9th to 12th grade, no diploma"
"B15001_070M","Margin of Error!!Total:!!Female:!!45 to 64 years:!!9th to 12th grade, no diploma"
"B15001_071E","Estimate!!Total:!!Female:!!45 to 64 years:!!High school graduate (includes equivalency)"
"B15001_071M","Margin of Error!!Total:!!Female:!!45 to 64 years:!!High school graduate (includes equivalency)"
"B15001_072E","Estimate!!Total:!!Female:!!45 to 64 years:!!Some college, no degree"
"B15001_072M","Margin of Error!!Total:!!Female:!!45 to 64 years:!!Some college, no degree"
"B15001_073E","Estimate!!Total:!!Female:!!45 to 64 years:!!Associate's degree"
"B15001_073M","Margin of Error!!Total:!!Female:!!45 to 64 years:!!Associate's degree"
"B15001_074E","Estimate!!Total:!!Female:!!45 to 64 years:!!Bachelor's degree"
"B15001_074M","Margin of Error!!Total:!!Female:!!45 to 64 years:!!Bachelor's degree"
"B15001_075E","Estimate!!Total:!!Female:!!45 to 64 years:!!Graduate or professional degree"
"B15001_075M","Margin of Error!!Total:!!Female:!!45 to 64 years:!!Graduate or professional degree"
"B15001_076E","Estimate!!Total:!!Female:!!65 years and over:"
"B15001_076M","Margin of Error!!Total:!!Female:!!65 years and over:"
"B15001_077E","Estimate!!Total:!!Female:!!65 years and over:!!Less than 9th grade"
"B15001_077M","Margin of Error!!Total:!!Female:!!65 years and over:!!Less than 9th grade"
"B15001_078E","Estimate!!Total:!!Female:!!65 years and over:!!9th to 12th grade, no diploma"
